index,요양기관명,종별코드명,시군구코드명,동,주소,우편번호,x좌표,y좌표
1261,김.류.박치과의원,치과의원,대전서구,둔산동,대전광역시 서구 대덕대로176번길 9 4층 (둔산동),35234,127.3776039,36.3486834
1262,김경훈치과의원,치과의원,대전동구,가오동,"대전광역시 동구 은어송로 33 5층 (가오동, 5층)",34692,127.4535128,36.3049545
1263,김기종치과의원,치과의원,대전서구,내동,대전광역시 서구 동서대로 987 (내동),35286,127.3723872,36.3339136
1264,김명수치과의원,치과의원,대전중구,은행동,대전광역시 중구 중앙로 149 한솔빌딩 3층 303호 (은행동),34832,127.4260116,36.3290641
1265,김봉석치과의원,치과의원,대전동구,원동,대전광역시 동구 대전로779번길 5 3층 (원동),34628,127.4334419,36.3292288
1266,김상학치과의원,치과의원,대전중구,산성동,대전광역시 중구 대둔산로 397 4층 (산성동),34989,127.3860234,36.3049476
1267,김상훈치과의원,치과의원,대전서구,도마동,대전광역시 서구 도산로 52 2층 (도마동),35332,127.380309,36.3134557
1268,김양중치과의원,치과의원,대전서구,갈마동,대전광역시 서구 대덕대로167번길 5 403호 (갈마동),35271,127.3760139,36.3483252
1269,김응태치과의원,치과의원,대전서구,도마동,대전광역시 서구 도산로 51 3층 (도마동),35335,127.3795337,36.3134096
1270,김종우치과의원,치과의원,대전중구,은행동,대전광역시 중구 대종로 506 (은행동),34832,127.4253884,36.3294188
1271,김지웅치과의원,치과의원,대전동구,용전동,대전광역시 동구 동서대로 1679 (용전동),34552,127.4360494,36.3493808
1272,김창년치과의원,치과의원,대전유성구,궁동,"대전광역시 유성구 농대로 15 (궁동,C&S 빌딩 4층)",34138,127.3530008,36.3619848
1273,김치과의원,치과의원,대전유성구,봉명동,대전광역시 유성구 계룡로 60 (봉명동),34178,127.3375823,36.3547289
1274,김형조치과의원,치과의원,대전서구,둔산동,"대전광역시 서구 둔산로 220 302호 (둔산동, 둔산훼미리타운)",35250,127.3984577,36.3510058
1275,김홍기치과의원,치과의원,대전대덕구,신탄진동,대전광역시 대덕구 신탄진로 790 (신탄진동),34311,127.429794,36.4479989
1276,김흥진치과의원,치과의원,대전동구,대동,대전광역시 동구 동대전로 81 5층 (대동),34610,127.4430566,36.3300034
1277,김희진치과의원,치과의원,대전서구,둔산동,"대전광역시 서구 문예로 63 801호 (둔산동, 행촌회관)",35240,127.3898504,36.3522949
1280,남스힐링치과의원,치과의원,대전서구,둔산동,"대전광역시 서구 둔산로 142 4층 (둔산동, 신화빌딩)",35241,127.3895149,36.3510211
1281,남욱치과의원,치과의원,대전중구,은행동,대전광역시 중구 중앙로164번길 21-6 (은행동),34922,127.4284484,36.3283598
1282,노블란트치과의원,치과의원,대전서구,탄방동,대전광역시 서구 문정로48번길 58 5층 (탄방동),35262,127.3842069,36.3439502
1283,노블리안치과의원,치과의원,대전서구,관저동,대전광역시 서구 관저동로 86,35379,127.3410121,36.2998129
1284,노은김앤장치과의원,치과의원,대전유성구,지족동,"대전광역시 유성구 노은로 174 3층 301호 (지족동, 도원프라자)",34086,127.3184273,36.3752334
1285,노은부부치과의원,치과의원,대전유성구,지족동,대전광역시 유성구 은구비남로 39 (지족동),34086,127.320107,36.3723827
1286,노은사랑치과의원,치과의원,대전유성구,지족동,대전광역시 유성구 은구비남로33번길 17 201호 (지족동),34086,127.3191146,36.3730311
1287,노은어린이치과의원,치과의원,대전유성구,지족동,"대전광역시 유성구 노은로 170 (지족동,5층)",34086,127.3184267,36.3748013
1288,노은연합치과의원,치과의원,대전유성구,지족동,대전광역시 유성구 노은로 166 (지족동),34086,127.318409,36.3745154
1289,녹원리빙웰치과의원,치과의원,대전서구,둔산동,대전광역시 서구 둔산로 136 3층 301호 (둔산동),35241,127.3889529,36.3509844
1290,뉴본치과의원,치과의원,대전유성구,지족동,"대전광역시 유성구 지족로 292 402호 (지족동, 하나로빌딩)",34073,127.3090826,36.3875591
1291,뉴엠치과의원,치과의원,대전서구,용문동,대전광역시 서구 계룡로 651 5층 (용문동),35307,127.3940795,36.3379212
1292,늘푸른치과의원,치과의원,대전서구,만년동,"대전광역시 서구 만년남로 9 3층 (만년동, 만년코아)",35200,127.3763908,36.3660788
